Description	
Number of Runs	750
Preset Time	1
Pause Time	0
Alarm Level	0
High Voltage	900
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
168	900	1076	1	04/04/24 12:11:38 PM	
169	900	1103	1	04/04/24 12:11:39 PM	
170	900	1056	1	04/04/24 12:11:41 PM	
171	900	1101	1	04/04/24 12:11:42 PM	
172	900	1073	1	04/04/24 12:11:43 PM	
173	900	1057	1	04/04/24 12:11:44 PM	
174	900	1092	1	04/04/24 12:11:45 PM	
175	900	1093	1	04/04/24 12:11:46 PM	
176	900	1086	1	04/04/24 12:11:47 PM	
177	900	1073	1	04/04/24 12:11:49 PM	
178	900	1091	1	04/04/24 12:11:50 PM	
179	900	1062	1	04/04/24 12:11:51 PM	
180	900	1063	1	04/04/24 12:11:52 PM	
181	900	1055	1	04/04/24 12:11:53 PM	
182	900	1071	1	04/04/24 12:11:54 PM	
183	900	1080	1	04/04/24 12:11:55 PM	
184	900	1061	1	04/04/24 12:11:57 PM	
185	900	1073	1	04/04/24 12:11:58 PM	
186	900	1027	1	04/04/24 12:11:59 PM	
187	900	1100	1	04/04/24 12:12:00 PM	
188	900	1089	1	04/04/24 12:12:01 PM	
189	900	1085	1	04/04/24 12:12:02 PM	
190	900	1060	1	04/04/24 12:12:04 PM	
191	900	1088	1	04/04/24 12:12:05 PM	
192	900	1094	1	04/04/24 12:12:06 PM	
193	900	1097	1	04/04/24 12:12:07 PM	
194	900	1062	1	04/04/24 12:12:08 PM	
195	900	1069	1	04/04/24 12:12:09 PM	
196	900	1070	1	04/04/24 12:12:10 PM	
197	900	1061	1	04/04/24 12:12:12 PM	
198	900	1050	1	04/04/24 12:12:13 PM	
199	900	1057	1	04/04/24 12:12:14 PM	
200	900	1052	1	04/04/24 12:12:15 PM	
201	900	1070	1	04/04/24 12:12:16 PM	
202	900	1077	1	04/04/24 12:12:17 PM	
203	900	1038	1	04/04/24 12:12:18 PM	
204	900	1079	1	04/04/24 12:12:20 PM	
205	900	1081	1	04/04/24 12:12:21 PM	
206	900	1110	1	04/04/24 12:12:22 PM	
207	900	1091	1	04/04/24 12:12:23 PM	
208	900	1088	1	04/04/24 12:12:24 PM	
209	900	1063	1	04/04/24 12:12:25 PM	
210	900	1105	1	04/04/24 12:12:26 PM	
211	900	1055	1	04/04/24 12:12:28 PM	
212	900	1063	1	04/04/24 12:12:29 PM	
213	900	1071	1	04/04/24 12:12:30 PM	
214	900	1071	1	04/04/24 12:12:31 PM	
215	900	1090	1	04/04/24 12:12:32 PM	
216	900	1144	1	04/04/24 12:12:33 PM	
217	900	1077	1	04/04/24 12:12:35 PM	
218	900	1100	1	04/04/24 12:12:36 PM	
219	900	1108	1	04/04/24 12:12:37 PM	
220	900	1065	1	04/04/24 12:12:38 PM	
221	900	1065	1	04/04/24 12:12:39 PM	
222	900	1045	1	04/04/24 12:12:40 PM	
223	900	1075	1	04/04/24 12:12:41 PM	
224	900	1067	1	04/04/24 12:12:43 PM	
225	900	1077	1	04/04/24 12:12:44 PM	
226	900	1080	1	04/04/24 12:12:45 PM	
227	900	1088	1	04/04/24 12:12:46 PM	
228	900	1098	1	04/04/24 12:12:47 PM	
229	900	1066	1	04/04/24 12:12:48 PM	
230	900	1069	1	04/04/24 12:12:49 PM	
231	900	1054	1	04/04/24 12:12:51 PM	
232	900	1040	1	04/04/24 12:12:52 PM	
233	900	1086	1	04/04/24 12:12:53 PM	
234	900	1083	1	04/04/24 12:12:54 PM	
235	900	1085	1	04/04/24 12:12:55 PM	
236	900	1062	1	04/04/24 12:12:56 PM	
237	900	1061	1	04/04/24 12:12:57 PM	
238	900	1064	1	04/04/24 12:12:59 PM	
239	900	1044	1	04/04/24 12:13:00 PM	
240	900	1105	1	04/04/24 12:13:01 PM	
241	900	1045	1	04/04/24 12:13:02 PM	
242	900	1082	1	04/04/24 12:13:03 PM	
243	900	1110	1	04/04/24 12:13:04 PM	
244	900	1067	1	04/04/24 12:13:06 PM	
245	900	1092	1	04/04/24 12:13:07 PM	
246	900	1081	1	04/04/24 12:13:08 PM	
247	900	1111	1	04/04/24 12:13:09 PM	
248	900	1099	1	04/04/24 12:13:10 PM	
249	900	1062	1	04/04/24 12:13:11 PM	
250	900	1136	1	04/04/24 12:13:12 PM	
251	900	1029	1	04/04/24 12:13:14 PM	
252	900	1092	1	04/04/24 12:13:15 PM	
253	900	1064	1	04/04/24 12:13:16 PM	
254	900	1058	1	04/04/24 12:13:17 PM	
255	900	1048	1	04/04/24 12:13:18 PM	
256	900	1065	1	04/04/24 12:13:19 PM	
257	900	1095	1	04/04/24 12:13:20 PM	
258	900	1106	1	04/04/24 12:13:22 PM	
259	900	1070	1	04/04/24 12:13:23 PM	
260	900	1082	1	04/04/24 12:13:24 PM	
261	900	1080	1	04/04/24 12:13:25 PM	
262	900	1055	1	04/04/24 12:13:26 PM	
263	900	1046	1	04/04/24 12:13:27 PM	
264	900	1039	1	04/04/24 12:13:29 PM	
265	900	1089	1	04/04/24 12:13:30 PM	
266	900	1099	1	04/04/24 12:13:31 PM	
267	900	1082	1	04/04/24 12:13:32 PM	
268	900	1104	1	04/04/24 12:13:33 PM	
269	900	1084	1	04/04/24 12:13:34 PM	
270	900	1042	1	04/04/24 12:13:35 PM	
271	900	1060	1	04/04/24 12:13:37 PM	
272	900	1104	1	04/04/24 12:13:38 PM	
273	900	1057	1	04/04/24 12:13:39 PM	
274	900	1054	1	04/04/24 12:13:40 PM	
275	900	1074	1	04/04/24 12:13:41 PM	
276	900	1053	1	04/04/24 12:13:42 PM	
277	900	1065	1	04/04/24 12:13:43 PM	
278	900	1089	1	04/04/24 12:13:45 PM	
279	900	1077	1	04/04/24 12:13:46 PM	
280	900	1073	1	04/04/24 12:13:47 PM	
281	900	1065	1	04/04/24 12:13:48 PM	
282	900	1081	1	04/04/24 12:13:49 PM	
283	900	1082	1	04/04/24 12:13:50 PM	
284	900	1073	1	04/04/24 12:13:51 PM	
285	900	1076	1	04/04/24 12:13:53 PM	
286	900	1072	1	04/04/24 12:13:54 PM	
287	900	1108	1	04/04/24 12:13:55 PM	
288	900	1084	1	04/04/24 12:13:56 PM	
289	900	1080	1	04/04/24 12:13:57 PM	
290	900	1082	1	04/04/24 12:13:58 PM	
291	900	1083	1	04/04/24 12:14:00 PM	
292	900	1065	1	04/04/24 12:14:01 PM	
293	900	1103	1	04/04/24 12:14:02 PM	
294	900	1060	1	04/04/24 12:14:03 PM	
295	900	1086	1	04/04/24 12:14:04 PM	
296	900	1110	1	04/04/24 12:14:05 PM	
297	900	1056	1	04/04/24 12:14:06 PM	
298	900	1046	1	04/04/24 12:14:08 PM	
299	900	1067	1	04/04/24 12:14:09 PM	
300	900	1090	1	04/04/24 12:14:10 PM	
301	900	1092	1	04/04/24 12:14:11 PM	
302	900	1072	1	04/04/24 12:14:12 PM	
303	900	1098	1	04/04/24 12:14:13 PM	
304	900	1079	1	04/04/24 12:14:14 PM	
305	900	1072	1	04/04/24 12:14:16 PM	
306	900	1086	1	04/04/24 12:14:17 PM	
307	900	1086	1	04/04/24 12:14:18 PM	
308	900	1087	1	04/04/24 12:14:19 PM	
309	900	1077	1	04/04/24 12:14:20 PM	
310	900	1073	1	04/04/24 12:14:21 PM	
311	900	1053	1	04/04/24 12:14:22 PM	
312	900	1059	1	04/04/24 12:14:24 PM	
313	900	1071	1	04/04/24 12:14:25 PM	
314	900	1083	1	04/04/24 12:14:26 PM	
315	900	1080	1	04/04/24 12:14:27 PM	
316	900	1062	1	04/04/24 12:14:28 PM	
317	900	1057	1	04/04/24 12:14:29 PM	
318	900	1069	1	04/04/24 12:14:31 PM	
319	900	1083	1	04/04/24 12:14:32 PM	
320	900	1093	1	04/04/24 12:14:33 PM	
321	900	1101	1	04/04/24 12:14:34 PM	
322	900	1087	1	04/04/24 12:14:35 PM	
323	900	1082	1	04/04/24 12:14:36 PM	
324	900	1081	1	04/04/24 12:14:37 PM	
325	900	1074	1	04/04/24 12:14:39 PM	
326	900	1093	1	04/04/24 12:14:40 PM	
327	900	1073	1	04/04/24 12:14:41 PM	
328	900	1120	1	04/04/24 12:14:42 PM	
329	900	1096	1	04/04/24 12:14:43 PM	
330	900	1092	1	04/04/24 12:14:44 PM	
331	900	1086	1	04/04/24 12:14:45 PM	
332	900	1070	1	04/04/24 12:14:47 PM	
333	900	1067	1	04/04/24 12:14:48 PM	
334	900	1070	1	04/04/24 12:14:49 PM	
335	900	1103	1	04/04/24 12:14:50 PM	
336	900	1081	1	04/04/24 12:14:51 PM	
337	900	1081	1	04/04/24 12:14:52 PM	
338	900	1079	1	04/04/24 12:14:54 PM	
339	900	1094	1	04/04/24 12:14:55 PM	
340	900	1082	1	04/04/24 12:14:56 PM	
341	900	1070	1	04/04/24 12:14:57 PM	
342	900	1087	1	04/04/24 12:14:58 PM	
343	900	1076	1	04/04/24 12:14:59 PM	
344	900	1057	1	04/04/24 12:15:00 PM	
345	900	1102	1	04/04/24 12:15:02 PM	
346	900	1079	1	04/04/24 12:15:03 PM	
347	900	1106	1	04/04/24 12:15:04 PM	
348	900	1104	1	04/04/24 12:15:05 PM	
349	900	1077	1	04/04/24 12:15:06 PM	
350	900	1063	1	04/04/24 12:15:07 PM	
351	900	1081	1	04/04/24 12:15:08 PM	
352	900	1069	1	04/04/24 12:15:10 PM	
353	900	1099	1	04/04/24 12:15:11 PM	
354	900	1107	1	04/04/24 12:15:12 PM	
355	900	1094	1	04/04/24 12:15:13 PM	
356	900	1063	1	04/04/24 12:15:14 PM	
357	900	1069	1	04/04/24 12:15:15 PM	
358	900	1077	1	04/04/24 12:15:17 PM	
359	900	1106	1	04/04/24 12:15:18 PM	
360	900	1087	1	04/04/24 12:15:19 PM	
361	900	1072	1	04/04/24 12:15:20 PM	
362	900	1081	1	04/04/24 12:15:21 PM	
363	900	1076	1	04/04/24 12:15:22 PM	
364	900	1059	1	04/04/24 12:15:23 PM	
365	900	1082	1	04/04/24 12:15:25 PM	
366	900	1094	1	04/04/24 12:15:26 PM	
367	900	1110	1	04/04/24 12:15:27 PM	
368	900	1137	1	04/04/24 12:15:28 PM	
369	900	1081	1	04/04/24 12:15:29 PM	
370	900	1091	1	04/04/24 12:15:30 PM	
371	900	1084	1	04/04/24 12:15:31 PM	
372	900	1078	1	04/04/24 12:15:33 PM	
373	900	1087	1	04/04/24 12:15:34 PM	
374	900	1091	1	04/04/24 12:15:35 PM	
375	900	1046	1	04/04/24 12:15:36 PM	
376	900	1062	1	04/04/24 12:15:37 PM	
377	900	1072	1	04/04/24 12:15:38 PM	
378	900	1040	1	04/04/24 12:15:40 PM	
379	900	1061	1	04/04/24 12:15:41 PM	
380	900	1100	1	04/04/24 12:15:42 PM	
381	900	1081	1	04/04/24 12:15:43 PM	
382	900	1082	1	04/04/24 12:15:44 PM	
383	900	1091	1	04/04/24 12:15:45 PM	
384	900	1100	1	04/04/24 12:15:46 PM	
385	900	1080	1	04/04/24 12:15:48 PM	
386	900	1108	1	04/04/24 12:15:49 PM	
387	900	1084	1	04/04/24 12:15:50 PM	
388	900	1062	1	04/04/24 12:15:51 PM	
389	900	1111	1	04/04/24 12:15:52 PM	
390	900	1050	1	04/04/24 12:15:53 PM	
391	900	1092	1	04/04/24 12:15:54 PM	
392	900	1076	1	04/04/24 12:15:56 PM	
393	900	1098	1	04/04/24 12:15:57 PM	
394	900	1064	1	04/04/24 12:15:58 PM	
395	900	1088	1	04/04/24 12:15:59 PM	
396	900	1092	1	04/04/24 12:16:00 PM	
397	900	1105	1	04/04/24 12:16:01 PM	
398	900	1054	1	04/04/24 12:16:02 PM	
399	900	1080	1	04/04/24 12:16:04 PM	
400	900	1062	1	04/04/24 12:16:05 PM	
401	900	1071	1	04/04/24 12:16:06 PM	
402	900	1081	1	04/04/24 12:16:07 PM	
403	900	1061	1	04/04/24 12:16:08 PM	
404	900	1067	1	04/04/24 12:16:09 PM	
405	900	1062	1	04/04/24 12:16:11 PM	
406	900	1091	1	04/04/24 12:16:12 PM	
407	900	1078	1	04/04/24 12:16:13 PM	
408	900	1061	1	04/04/24 12:16:14 PM	
409	900	1066	1	04/04/24 12:16:15 PM	
410	900	1099	1	04/04/24 12:16:16 PM	
411	900	1039	1	04/04/24 12:16:17 PM	
412	900	1093	1	04/04/24 12:16:19 PM	
413	900	1082	1	04/04/24 12:16:20 PM	
414	900	1068	1	04/04/24 12:16:21 PM	
415	900	1097	1	04/04/24 12:16:22 PM	
416	900	1057	1	04/04/24 12:16:23 PM	
417	900	1088	1	04/04/24 12:16:24 PM	
418	900	1071	1	04/04/24 12:16:25 PM	
419	900	1077	1	04/04/24 12:16:27 PM	
420	900	1094	1	04/04/24 12:16:28 PM	
421	900	1067	1	04/04/24 12:16:29 PM	
422	900	1070	1	04/04/24 12:16:30 PM	
423	900	1060	1	04/04/24 12:16:31 PM	
424	900	1079	1	04/04/24 12:16:32 PM	
425	900	1068	1	04/04/24 12:16:33 PM	
426	900	1081	1	04/04/24 12:16:35 PM	
427	900	1092	1	04/04/24 12:16:36 PM	
428	900	1099	1	04/04/24 12:16:37 PM	
429	900	1097	1	04/04/24 12:16:38 PM	
430	900	1077	1	04/04/24 12:16:39 PM	
431	900	1058	1	04/04/24 12:16:40 PM	
432	900	1071	1	04/04/24 12:16:42 PM	
433	900	1098	1	04/04/24 12:16:43 PM	
434	900	1079	1	04/04/24 12:16:44 PM	
435	900	1090	1	04/04/24 12:16:45 PM	
436	900	1083	1	04/04/24 12:16:46 PM	
437	900	1072	1	04/04/24 12:16:47 PM	
438	900	1064	1	04/04/24 12:16:48 PM	
439	900	1085	1	04/04/24 12:16:50 PM	
440	900	1090	1	04/04/24 12:16:51 PM	
441	900	1083	1	04/04/24 12:16:52 PM	
442	900	1070	1	04/04/24 12:16:53 PM	
443	900	1070	1	04/04/24 12:16:54 PM	
444	900	1100	1	04/04/24 12:16:55 PM	
445	900	1064	1	04/04/24 12:16:56 PM	
446	900	1082	1	04/04/24 12:16:58 PM	
447	900	1088	1	04/04/24 12:16:59 PM	
448	900	1043	1	04/04/24 12:17:00 PM	
449	900	1100	1	04/04/24 12:17:01 PM	
450	900	1071	1	04/04/24 12:17:02 PM	
451	900	1098	1	04/04/24 12:17:03 PM	
452	900	1097	1	04/04/24 12:17:05 PM	
453	900	1088	1	04/04/24 12:17:06 PM	
454	900	1097	1	04/04/24 12:17:07 PM	
455	900	1074	1	04/04/24 12:17:08 PM	
456	900	1100	1	04/04/24 12:17:09 PM	
457	900	1088	1	04/04/24 12:17:10 PM	
458	900	1100	1	04/04/24 12:17:11 PM	
459	900	1096	1	04/04/24 12:17:13 PM	
460	900	1077	1	04/04/24 12:17:14 PM	
461	900	1078	1	04/04/24 12:17:15 PM	
462	900	1071	1	04/04/24 12:17:16 PM	
463	900	1108	1	04/04/24 12:17:17 PM	
464	900	1098	1	04/04/24 12:17:18 PM	
465	900	1066	1	04/04/24 12:17:19 PM	
466	900	1088	1	04/04/24 12:17:21 PM	
467	900	1086	1	04/04/24 12:17:22 PM	
468	900	1091	1	04/04/24 12:17:23 PM	
469	900	1070	1	04/04/24 12:17:24 PM	
470	900	1114	1	04/04/24 12:17:25 PM	
471	900	1081	1	04/04/24 12:17:26 PM	
472	900	1082	1	04/04/24 12:17:28 PM	
473	900	1095	1	04/04/24 12:17:29 PM	
474	900	1069	1	04/04/24 12:17:30 PM	
475	900	1075	1	04/04/24 12:17:31 PM	
476	900	1082	1	04/04/24 12:17:32 PM	
477	900	1097	1	04/04/24 12:17:33 PM	
478	900	1045	1	04/04/24 12:17:34 PM	
479	900	1069	1	04/04/24 12:17:36 PM	
480	900	1063	1	04/04/24 12:17:37 PM	
481	900	1085	1	04/04/24 12:17:38 PM	
482	900	1094	1	04/04/24 12:17:39 PM	
483	900	1077	1	04/04/24 12:17:40 PM	
484	900	1085	1	04/04/24 12:17:41 PM	
485	900	1090	1	04/04/24 12:17:42 PM	
486	900	1062	1	04/04/24 12:17:44 PM	
487	900	1037	1	04/04/24 12:17:45 PM	
488	900	1071	1	04/04/24 12:17:46 PM	
489	900	1076	1	04/04/24 12:17:47 PM	
490	900	1084	1	04/04/24 12:17:48 PM	
491	900	1092	1	04/04/24 12:17:49 PM	
492	900	1043	1	04/04/24 12:17:50 PM	
493	900	1083	1	04/04/24 12:17:52 PM	
494	900	1083	1	04/04/24 12:17:53 PM	
495	900	1100	1	04/04/24 12:17:54 PM	
496	900	1094	1	04/04/24 12:17:55 PM	
497	900	1053	1	04/04/24 12:17:56 PM	
498	900	1074	1	04/04/24 12:17:57 PM	
499	900	1070	1	04/04/24 12:17:58 PM	
500	900	1082	1	04/04/24 12:18:00 PM	
501	900	1112	1	04/04/24 12:18:01 PM	
502	900	1081	1	04/04/24 12:18:02 PM	
503	900	1063	1	04/04/24 12:18:03 PM	
504	900	1101	1	04/04/24 12:18:04 PM	
505	900	1082	1	04/04/24 12:18:05 PM	
506	900	1067	1	04/04/24 12:18:07 PM	
507	900	1100	1	04/04/24 12:18:08 PM	
508	900	1108	1	04/04/24 12:18:09 PM	
509	900	1067	1	04/04/24 12:18:10 PM	
510	900	1102	1	04/04/24 12:18:11 PM	
511	900	1080	1	04/04/24 12:18:12 PM	
512	900	1069	1	04/04/24 12:18:13 PM	
513	900	1061	1	04/04/24 12:18:15 PM	
514	900	1121	1	04/04/24 12:18:16 PM	
515	900	1065	1	04/04/24 12:18:17 PM	
516	900	1066	1	04/04/24 12:18:18 PM	
517	900	1062	1	04/04/24 12:18:19 PM	
518	900	1081	1	04/04/24 12:18:20 PM	
519	900	1096	1	04/04/24 12:18:21 PM	
520	900	1084	1	04/04/24 12:18:23 PM	
521	900	1072	1	04/04/24 12:18:24 PM	
522	900	1075	1	04/04/24 12:18:25 PM	
523	900	1079	1	04/04/24 12:18:26 PM	
524	900	1091	1	04/04/24 12:18:27 PM	
525	900	1114	1	04/04/24 12:18:28 PM	
526	900	1085	1	04/04/24 12:18:29 PM	
527	900	1088	1	04/04/24 12:18:31 PM	
528	900	1056	1	04/04/24 12:18:32 PM	
529	900	1056	1	04/04/24 12:18:33 PM	
530	900	1072	1	04/04/24 12:18:34 PM	
531	900	1115	1	04/04/24 12:18:35 PM	
532	900	1070	1	04/04/24 12:18:36 PM	
533	900	1085	1	04/04/24 12:18:37 PM	
534	900	1059	1	04/04/24 12:18:39 PM	
535	900	1100	1	04/04/24 12:18:40 PM	
536	900	1063	1	04/04/24 12:18:41 PM	
537	900	1075	1	04/04/24 12:18:42 PM	
538	900	1051	1	04/04/24 12:18:43 PM	
539	900	1051	1	04/04/24 12:18:44 PM	
540	900	1067	1	04/04/24 12:18:45 PM	
541	900	1059	1	04/04/24 12:18:46 PM	
542	900	1104	1	04/04/24 12:18:48 PM	
543	900	1095	1	04/04/24 12:18:49 PM	
544	900	1116	1	04/04/24 12:18:50 PM	
545	900	1128	1	04/04/24 12:18:51 PM	
546	900	1121	1	04/04/24 12:18:52 PM	
547	900	1061	1	04/04/24 12:18:53 PM	
548	900	1068	1	04/04/24 12:18:54 PM	
