Time,Voltage,Controller
157485,515,1023
157685,515,1023
157886,515,1023
158087,515,1023
158288,515,1023
158489,515,1023
158690,515,1023
158891,515,1023
159092,515,1023
159293,515,1023
159494,515,1023
159694,515,1022
159895,515,1023
160097,515,1023
160297,515,1023
160498,515,1023
160699,515,1023
160900,515,1023
161101,515,1023
161302,515,1023
161503,515,1022
161703,515,1023
161904,515,1023
162106,515,1022
162307,515,1022
162507,515,1023
162708,514,1023
162909,515,1023
163110,515,1022
163311,515,1023
163512,515,1023
163713,515,1021
163913,515,1022
164115,515,1023
164316,515,1022
164516,515,1023
164717,515,1023
164918,515,1023
165120,515,1023
165320,515,1023
165521,515,1023
165722,515,1022
165922,515,1022
166124,515,1023
166325,515,1023
166525,515,1023
166726,515,1022
166927,514,1023
167129,515,1023
167329,515,1023
167530,515,1022
167731,515,1023
167931,515,1023
168133,515,1023
168334,515,1023
168535,515,1022
168735,515,1023
168936,515,1023
169138,515,1022
169338,515,1023
169539,515,1023
169740,515,1023
169940,515,1023
170142,515,1023
170343,515,1023
170544,515,1023
170744,515,1021
170945,515,1023
171147,515,1022
171347,515,1023
171548,517,1023
171749,515,1023
171950,515,1022
172151,515,1023
172352,515,1023
172553,516,1023
172753,515,1023
172954,516,1023
173156,515,1023
173357,515,1023
173557,515,1022
173758,515,1023
173959,515,1023
174160,515,1023
174361,516,1023
174562,516,1023
174763,515,1023
174963,515,1023
175165,515,1023
175366,515,1022
175566,516,1021
175767,515,1023
175968,516,1023
176169,515,1023
176370,516,1023
176571,516,1023
176772,516,1023
176972,515,1023
177174,516,1021
177375,515,1023
177575,517,1023
177776,516,1023
177977,516,1022
178179,516,1023
178379,516,1023
178580,515,1023
178781,518,1023
178981,516,1022
179183,516,1023
179384,516,1023
179585,516,1023
179785,516,1023
179986,516,1023
180188,516,1023
180388,516,1023
180589,516,1023
180790,516,1023
180990,516,1022
181192,516,1023
181393,516,1023
181594,516,1023
181794,516,1023
181995,516,1023
182197,516,1023
182397,516,1022
182598,516,1023
182799,516,1022
183000,516,1023
183201,516,1023
183402,515,1022
183603,516,1023
183803,516,1023
184004,516,1022
184206,516,1023
184407,516,1023
184607,516,1023
184808,516,1023
185009,516,1023
185210,516,1023
185411,516,1023
185612,516,1023
185812,516,1022
186013,516,1023
186215,516,1022
186416,516,1023
186616,516,1023
186817,516,1022
187018,515,1023
187219,516,1023
187420,516,1023
187621,516,1023
187822,516,1023
188022,516,1023
188224,516,1023
188425,516,1023
188625,516,1023
188826,516,1022
189027,518,1023
189229,516,1023
189429,516,1023
189630,516,1023
189831,516,1023
190031,516,1023
190233,516,1023
190434,515,1022
190635,516,1023
190835,516,1023
191036,517,1023
191238,516,1023
191438,516,1023
191639,516,1023
191840,516,1022
192040,516,1023
192242,515,1023
192443,516,1023
192644,516,1022
192844,516,1023
193045,516,1023
193247,516,1023
193447,516,1023
193648,516,1023
193849,516,1023
194050,516,1023
194251,516,1023
194452,516,1023
194653,516,1022
194853,516,1023
195054,516,1021
195256,516,1023
195457,515,1023
195657,516,1023
195858,516,1023
196059,516,1023
196260,516,1022
196461,516,1023
196662,516,1022
196862,516,1023
197063,516,1023
197265,516,1023
197466,515,1022
197666,516,1023
197867,517,1023
198068,516,1022
198269,516,1023
198470,516,1023
198671,516,1023
198872,516,1023
199072,516,1023
199274,516,1023
199475,516,1023
199675,516,1023
199876,516,1023
200077,516,1023
200279,516,1023
200479,516,1023
200680,516,1022
200881,516,1023
201081,516,1023
201283,516,1023
201484,516,1023
201684,516,1023
201885,516,1023
202086,516,1023
202288,516,1023
202488,516,1023
202689,516,1023
202890,516,1023
203090,516,1023
203292,516,1023
203493,516,1023
203694,516,1023
203894,516,1023
204096,517,1023
204297,516,1023
204497,516,1023
204698,516,1022
204899,516,1023
205101,516,1022
205301,516,1023
205502,516,1023
205703,517,1022
205903,516,1023
206105,517,1023
206306,516,1023
206507,516,1023
206707,516,1023
206908,517,1023
207110,515,1023
207310,516,1023
207511,517,1023
207712,516,1022
207912,516,1023
208114,517,1023
208315,516,1023
208516,516,1022
208716,517,1023
208917,515,1023
209119,516,1023
209319,516,1023
209520,517,1022
209721,516,1023
209922,517,1023
210123,517,1023
210324,517,1023
210525,516,1023
210725,516,1023
210926,517,1023
211128,516,1023
211329,517,1023
211529,515,1023
211730,517,1023
211931,516,1023
212132,516,1023
212333,517,1023
212534,517,1023
212734,517,1021
212935,516,1023
213137,517,1023
213338,517,1023
213538,517,1023
213739,516,1022
213940,517,1022
214141,517,1023
214342,517,1023
214543,516,1023
214744,515,1023
214944,517,1023
215146,516,1022
215347,517,1023
215547,517,1023
215748,517,1022
215949,517,1023
216151,516,1023
216351,517,1023
216552,516,1023
216753,516,1023
216953,517,1023
217155,517,1022
217356,517,1023
217556,516,1023
217757,517,1022
217958,516,1023
218160,517,1023
218360,516,1023
218561,517,1023
218762,517,1023
218962,517,1023
219164,517,1023
219365,517,1023
219566,517,1022
219766,517,1023
219967,517,1023
220169,517,1022
220369,517,1023
220570,516,1023
220771,516,1023
220972,517,1023
221173,517,1022
221374,517,1023
221575,517,1023
221775,517,1022
221976,517,1023
222178,517,1023
222379,516,1023
222579,517,1022
222780,517,1023
222981,517,1022
223182,517,1023
223383,517,1023
223584,517,1023
223784,517,1022
223985,517,1023
224187,517,1023
224388,517,1023
224588,517,1023
224789,516,1023
224990,517,1023
225191,517,1023
225392,517,1022
225593,515,1023
225794,517,1022
225994,517,1022
226196,517,1023
226397,517,1022
226597,517,1022
226798,517,1023
226999,517,1023
227201,517,1023
227401,517,1023
227602,517,1023
227803,517,1023
228003,517,1023
228205,517,1023
228406,517,1023
228606,517,1022
228807,517,1023
229008,517,1023
229210,517,1022
229410,517,1023
229611,517,1023
229812,517,1022
230012,517,1023
230214,517,1023
230415,517,1023
230616,517,1021
230816,517,1023
231017,517,1022
231219,517,1023
231419,517,1022
231620,517,1023
231821,517,1023
232022,517,1023
232223,517,1023
232424,517,1022
232625,518,1023
232825,517,1022
233026,517,1023
233228,517,1023
233428,517,1023
233629,517,1022
233830,517,1023
234031,517,1021
234232,517,1023
234433,517,1023
234634,517,1022
234834,517,1023
235035,517,1023
235237,517,1023
235438,517,1023
235638,517,1023
235839,519,1023
236040,517,1023
236241,517,1023
236442,517,1023
236643,517,1023
236844,517,1022
237044,519,1023
237246,517,1023
237447,517,1022
237647,517,1023
237848,517,1023
238049,517,1023
238251,518,1023
238451,517,1022
238652,517,1023
238853,517,1023
239053,518,1022
239255,517,1023
239456,518,1022
239656,517,1023
239857,517,1023
240058,517,1022
240260,517,1023
240460,517,1023
240661,518,1021
240862,517,1023
241062,518,1023
241264,517,1022
241465,517,1022
241666,517,1023
241866,518,1023
242067,518,1023
242269,517,1022
242469,517,1023
242670,518,1023
242871,518,1023
243072,518,1022
243273,518,1023
243474,518,1023
243675,517,1022
243875,518,1023
244076,517,1022
244278,517,1023
244478,518,1023
244679,518,1023
244880,517,1023
245081,518,1023
245282,518,1023
245483,518,1023
245684,517,1022
245884,518,1023
246085,518,1023
246287,517,1021
246488,518,1023
246688,518,1023
246889,518,1023
247090,517,1021
247291,518,1022
247492,518,1023
247693,517,1022
247894,518,1023
248094,518,1023
248296,517,1023
248497,518,1023
248697,518,1021
248898,518,1023
249099,518,1023
249300,518,1023
249501,518,1021
249702,518,1023
249903,518,1021
250103,518,1023
250305,517,1023
250506,517,1023
