Time (s) Run #2,"Angle, 004-000 (rad) Run #2","Angle, 670-231 (rad) Run #2",,,,,,,,,,,,,,,,,
7.7,-3.104,0.239,,,,,,,,,,,,,,,,,
7.75,-3.129,0.28,,,,,,,,,,,,,,,,,
7.8,-3.164,0.32,,,,,,,,,,,,,,,,,
7.85,-3.208,0.355,,,,,,,,,,,,,,,,,
7.9,-3.264,0.383,,,,,,,,,,,,,,,,,
7.95,-3.324,0.402,,,,,,,,,,,,,,,,,
8,-3.39,0.412,,,,,,,,,,,,,,,,,
8.05,-3.456,0.412,,,,,,,,,,,,,,,,,
8.1,-3.519,0.399,,,,,,,,,,,,,,,,,
8.15,-3.581,0.377,,,,,,,,,,,,,,,,,
8.2,-3.635,0.346,,,,,,,,,,,,,,,,,
8.25,-3.679,0.311,,,,,,,,,,,,,,,,,
8.3,-3.71,0.273,,,,,,,,,,,,,,,,,
8.35,-3.732,0.232,,,,,,,,,,,,,,,,,
8.4,-3.742,0.195,,,,,,,,,,,,,,,,,
8.45,-3.742,0.167,,,,,,,,,,,,,,,,,
8.5,-3.732,0.141,,,,,,,,,,,,,,,,,
8.55,-3.717,0.129,,,,,,,,,,,,,,,,,
8.6,-3.698,0.129,,,,,,,,,,,,,,,,,
8.65,-3.682,0.138,,,,,,,,,,,,,,,,,
8.7,-3.666,0.157,,,,,,,,,,,,,,,,,
8.75,-3.66,0.185,,,,,,,,,,,,,,,,,
8.8,-3.663,0.22,,,,,,,,,,,,,,,,,
8.85,-3.679,0.261,,,,,,,,,,,,,,,,,
8.9,-3.704,0.298,,,,,,,,,,,,,,,,,
8.95,-3.742,0.336,,,,,,,,,,,,,,,,,
9,-3.786,0.368,,,,,,,,,,,,,,,,,
9.05,-3.839,0.393,,,,,,,,,,,,,,,,,
9.1,-3.899,0.408,,,,,,,,,,,,,,,,,
9.15,-3.965,0.415,,,,,,,,,,,,,,,,,
9.2,-4.028,0.412,,,,,,,,,,,,,,,,,
9.25,-4.09,0.399,,,,,,,,,,,,,,,,,
9.3,-4.147,0.377,,,,,,,,,,,,,,,,,
9.35,-4.197,0.346,,,,,,,,,,,,,,,,,
9.4,-4.235,0.311,,,,,,,,,,,,,,,,,
9.45,-4.266,0.276,,,,,,,,,,,,,,,,,
9.5,-4.285,0.239,,,,,,,,,,,,,,,,,
9.55,-4.295,0.204,,,,,,,,,,,,,,,,,
9.6,-4.295,0.176,,,,,,,,,,,,,,,,,
9.65,-4.285,0.154,,,,,,,,,,,,,,,,,
9.7,-4.269,0.145,,,,,,,,,,,,,,,,,
9.75,-4.254,0.145,,,,,,,,,,,,,,,,,
9.8,-4.241,0.154,,,,,,,,,,,,,,,,,
9.85,-4.232,0.173,,,,,,,,,,,,,,,,,
9.9,-4.225,0.204,,,,,,,,,,,,,,,,,
9.95,-4.232,0.236,,,,,,,,,,,,,,,,,
10,-4.247,0.273,,,,,,,,,,,,,,,,,
10.05,-4.276,0.311,,,,,,,,,,,,,,,,,
10.1,-4.313,0.342,,,,,,,,,,,,,,,,,
10.15,-4.357,0.374,,,,,,,,,,,,,,,,,
10.2,-4.414,0.396,,,,,,,,,,,,,,,,,
10.25,-4.47,0.412,,,,,,,,,,,,,,,,,
10.3,-4.533,0.418,,,,,,,,,,,,,,,,,
10.35,-4.593,0.415,,,,,,,,,,,,,,,,,
10.4,-4.653,0.399,,,,,,,,,,,,,,,,,
10.45,-4.709,0.377,,,,,,,,,,,,,,,,,
10.5,-4.756,0.349,,,,,,,,,,,,,,,,,
10.55,-4.797,0.314,,,,,,,,,,,,,,,,,
10.6,-4.825,0.28,,,,,,,,,,,,,,,,,
10.65,-4.847,0.245,,,,,,,,,,,,,,,,,
10.7,-4.854,0.21,,,,,,,,,,,,,,,,,
10.75,-4.854,0.185,,,,,,,,,,,,,,,,,
10.8,-4.847,0.167,,,,,,,,,,,,,,,,,
10.85,-4.835,0.157,,,,,,,,,,,,,,,,,
10.9,-4.822,0.157,,,,,,,,,,,,,,,,,
10.95,-4.807,0.167,,,,,,,,,,,,,,,,,
11,-4.8,0.188,,,,,,,,,,,,,,,,,
11.05,-4.797,0.214,,,,,,,,,,,,,,,,,
11.1,-4.803,0.248,,,,,,,,,,,,,,,,,
11.15,-4.825,0.283,,,,,,,,,,,,,,,,,
11.2,-4.851,0.317,,,,,,,,,,,,,,,,,
11.25,-4.888,0.352,,,,,,,,,,,,,,,,,
11.3,-4.935,0.38,,,,,,,,,,,,,,,,,
11.35,-4.989,0.402,,,,,,,,,,,,,,,,,
11.4,-5.045,0.415,,,,,,,,,,,,,,,,,
11.45,-5.105,0.418,,,,,,,,,,,,,,,,,
11.5,-5.165,0.415,,,,,,,,,,,,,,,,,
11.55,-5.224,0.402,,,,,,,,,,,,,,,,,
11.6,-5.278,0.38,,,,,,,,,,,,,,,,,
11.65,-5.325,0.352,,,,,,,,,,,,,,,,,
11.7,-5.363,0.32,,,,,,,,,,,,,,,,,
11.75,-5.394,0.286,,,,,,,,,,,,,,,,,
11.8,-5.413,0.251,,,,,,,,,,,,,,,,,
11.85,-5.419,0.223,,,,,,,,,,,,,,,,,
11.9,-5.422,0.195,,,,,,,,,,,,,,,,,
11.95,-5.416,0.179,,,,,,,,,,,,,,,,,
12,-5.407,0.17,,,,,,,,,,,,,,,,,
12.05,-5.394,0.17,,,,,,,,,,,,,,,,,
12.1,-5.382,0.179,,,,,,,,,,,,,,,,,
12.15,-5.375,0.198,,,,,,,,,,,,,,,,,
12.2,-5.375,0.223,,,,,,,,,,,,,,,,,
12.25,-5.382,0.254,,,,,,,,,,,,,,,,,
12.3,-5.4,0.289,,,,,,,,,,,,,,,,,
12.35,-5.429,0.324,,,,,,,,,,,,,,,,,
12.4,-5.463,0.355,,,,,,,,,,,,,,,,,
12.45,-5.507,0.383,,,,,,,,,,,,,,,,,
12.5,-5.557,0.402,,,,,,,,,,,,,,,,,
12.55,-5.611,0.418,,,,,,,,,,,,,,,,,
12.6,-5.671,0.421,,,,,,,,,,,,,,,,,
12.65,-5.727,0.418,,,,,,,,,,,,,,,,,
12.7,-5.784,0.405,,,,,,,,,,,,,,,,,
12.75,-5.837,0.386,,,,,,,,,,,,,,,,,
12.8,-5.884,0.361,,,,,,,,,,,,,,,,,
12.85,-5.922,0.33,,,,,,,,,,,,,,,,,
12.9,-5.953,0.295,,,,,,,,,,,,,,,,,
12.95,-5.972,0.264,,,,,,,,,,,,,,,,,
13,-5.982,0.232,,,,,,,,,,,,,,,,,
13.05,-5.985,0.21,,,,,,,,,,,,,,,,,
13.1,-5.982,0.192,,,,,,,,,,,,,,,,,
13.15,-5.972,0.182,,,,,,,,,,,,,,,,,
13.2,-5.963,0.182,,,,,,,,,,,,,,,,,
13.25,-5.953,0.188,,,,,,,,,,,,,,,,,
13.3,-5.947,0.207,,,,,,,,,,,,,,,,,
13.35,-5.947,0.232,,,,,,,,,,,,,,,,,
13.4,-5.953,0.261,,,,,,,,,,,,,,,,,
13.45,-5.972,0.292,,,,,,,,,,,,,,,,,
13.5,-5.997,0.327,,,,,,,,,,,,,,,,,
13.55,-6.032,0.358,,,,,,,,,,,,,,,,,
13.6,-6.073,0.386,,,,,,,,,,,,,,,,,
13.65,-6.123,0.405,,,,,,,,,,,,,,,,,
13.7,-6.18,0.421,,,,,,,,,,,,,,,,,
13.75,-6.236,0.427,,,,,,,,,,,,,,,,,
13.8,-6.293,0.424,,,,,,,,,,,,,,,,,
13.85,-6.349,0.415,,,,,,,,,,,,,,,,,
13.9,-6.403,0.396,,,,,,,,,,,,,,,,,
13.95,-6.45,0.371,,,,,,,,,,,,,,,,,
14,-6.487,0.342,,,,,,,,,,,,,,,,,
14.05,-6.519,0.311,,,,,,,,,,,,,,,,,
14.1,-6.538,0.28,,,,,,,,,,,,,,,,,
14.15,-6.55,0.251,,,,,,,,,,,,,,,,,
14.2,-6.557,0.226,,,,,,,,,,,,,,,,,
14.25,-6.553,0.207,,,,,,,,,,,,,,,,,
14.3,-6.547,0.198,,,,,,,,,,,,,,,,,
14.35,-6.538,0.195,,,,,,,,,,,,,,,,,
14.4,-6.531,0.201,,,,,,,,,,,,,,,,,
14.45,-6.525,0.217,,,,,,,,,,,,,,,,,
14.5,-6.525,0.242,,,,,,,,,,,,,,,,,
14.55,-6.531,0.267,,,,,,,,,,,,,,,,,
14.6,-6.547,0.298,,,,,,,,,,,,,,,,,
14.65,-6.572,0.33,,,,,,,,,,,,,,,,,
14.7,-6.604,0.361,,,,,,,,,,,,,,,,,
14.75,-6.644,0.39,,,,,,,,,,,,,,,,,
14.8,-6.692,0.412,,,,,,,,,,,,,,,,,
14.85,-6.745,0.427,,,,,,,,,,,,,,,,,
14.9,-6.802,0.434,,,,,,,,,,,,,,,,,
14.95,-6.855,0.434,,,,,,,,,,,,,,,,,
15,-6.912,0.424,,,,,,,,,,,,,,,,,
15.05,-6.962,0.408,,,,,,,,,,,,,,,,,
15.1,-7.009,0.386,,,,,,,,,,,,,,,,,
15.15,-7.05,0.358,,,,,,,,,,,,,,,,,
15.2,-7.078,0.327,,,,,,,,,,,,,,,,,
15.25,-7.103,0.298,,,,,,,,,,,,,,,,,
15.3,-7.119,0.27,,,,,,,,,,,,,,,,,
15.35,-7.125,0.245,,,,,,,,,,,,,,,,,
15.4,-7.125,0.226,,,,,,,,,,,,,,,,,
15.45,-7.119,0.214,,,,,,,,,,,,,,,,,
15.5,-7.113,0.21,,,,,,,,,,,,,,,,,
15.55,-7.106,0.217,,,,,,,,,,,,,,,,,
15.6,-7.1,0.229,,,,,,,,,,,,,,,,,
15.65,-7.1,0.251,,,,,,,,,,,,,,,,,
15.7,-7.103,0.276,,,,,,,,,,,,,,,,,
15.75,-7.119,0.305,,,,,,,,,,,,,,,,,
15.8,-7.141,0.336,,,,,,,,,,,,,,,,,
15.85,-7.172,0.368,,,,,,,,,,,,,,,,,
15.9,-7.21,0.393,,,,,,,,,,,,,,,,,
15.95,-7.254,0.418,,,,,,,,,,,,,,,,,
16,-7.307,0.434,,,,,,,,,,,,,,,,,
16.05,-7.361,0.443,,,,,,,,,,,,,,,,,
16.1,-7.417,0.443,,,,,,,,,,,,,,,,,
16.15,-7.471,0.437,,,,,,,,,,,,,,,,,
16.2,-7.524,0.424,,,,,,,,,,,,,,,,,
16.25,-7.571,0.405,,,,,,,,,,,,,,,,,
16.3,-7.612,0.38,,,,,,,,,,,,,,,,,
16.35,-7.647,0.352,,,,,,,,,,,,,,,,,
16.4,-7.672,0.32,,,,,,,,,,,,,,,,,
16.45,-7.691,0.292,,,,,,,,,,,,,,,,,
16.5,-7.7,0.267,,,,,,,,,,,,,,,,,
16.55,-7.7,0.248,,,,,,,,,,,,,,,,,
16.6,-7.7,0.236,,,,,,,,,,,,,,,,,
16.65,-7.694,0.229,,,,,,,,,,,,,,,,,
16.7,-7.687,0.232,,,,,,,,,,,,,,,,,
16.75,-7.684,0.245,,,,,,,,,,,,,,,,,
16.8,-7.681,0.264,,,,,,,,,,,,,,,,,
16.85,-7.687,0.286,,,,,,,,,,,,,,,,,
16.9,-7.7,0.314,,,,,,,,,,,,,,,,,
16.95,-7.719,0.342,,,,,,,,,,,,,,,,,
17,-7.747,0.374,,,,,,,,,,,,,,,,,
17.05,-7.782,0.399,,,,,,,,,,,,,,,,,
17.1,-7.826,0.424,,,,,,,,,,,,,,,,,
17.15,-7.876,0.44,,,,,,,,,,,,,,,,,
17.2,-7.926,0.452,,,,,,,,,,,,,,,,,
17.25,-7.983,0.456,,,,,,,,,,,,,,,,,
17.3,-8.033,0.452,,,,,,,,,,,,,,,,,
17.35,-8.086,0.44,,,,,,,,,,,,,,,,,
17.4,-8.134,0.424,,,,,,,,,,,,,,,,,
17.45,-8.178,0.402,,,,,,,,,,,,,,,,,
17.5,-8.212,0.374,,,,,,,,,,,,,,,,,
17.55,-8.24,0.346,,,,,,,,,,,,,,,,,
17.6,-8.259,0.317,,,,,,,,,,,,,,,,,
17.65,-8.272,0.292,,,,,,,,,,,,,,,,,
17.7,-8.278,0.273,,,,,,,,,,,,,,,,,
17.75,-8.278,0.258,,,,,,,,,,,,,,,,,
17.8,-8.275,0.251,,,,,,,,,,,,,,,,,
17.85,-8.269,0.251,,,,,,,,,,,,,,,,,
17.9,-8.266,0.258,,,,,,,,,,,,,,,,,
17.95,-8.262,0.273,,,,,,,,,,,,,,,,,
18,-8.269,0.295,,,,,,,,,,,,,,,,,
18.05,-8.278,0.32,,,,,,,,,,,,,,,,,
18.1,-8.297,0.349,,,,,,,,,,,,,,,,,
18.15,-8.322,0.377,,,,,,,,,,,,,,,,,
18.2,-8.357,0.405,,,,,,,,,,,,,,,,,
18.25,-8.397,0.43,,,,,,,,,,,,,,,,,
18.3,-8.441,0.449,,,,,,,,,,,,,,,,,
18.35,-8.495,0.462,,,,,,,,,,,,,,,,,
18.4,-8.545,0.468,,,,,,,,,,,,,,,,,
18.45,-8.602,0.468,,,,,,,,,,,,,,,,,
18.5,-8.652,0.456,,,,,,,,,,,,,,,,,
18.55,-8.702,0.443,,,,,,,,,,,,,,,,,
18.6,-8.746,0.421,,,,,,,,,,,,,,,,,
18.65,-8.781,0.396,,,,,,,,,,,,,,,,,
18.7,-8.812,0.371,,,,,,,,,,,,,,,,,
18.75,-8.834,0.342,,,,,,,,,,,,,,,,,
18.8,-8.847,0.317,,,,,,,,,,,,,,,,,
18.85,-8.853,0.295,,,,,,,,,,,,,,,,,
18.9,-8.856,0.28,,,,,,,,,,,,,,,,,
18.95,-8.856,0.27,,,,,,,,,,,,,,,,,
19,-8.85,0.27,,,,,,,,,,,,,,,,,
19.05,-8.847,0.273,,,,,,,,,,,,,,,,,
19.1,-8.847,0.286,,,,,,,,,,,,,,,,,
19.15,-8.85,0.305,,,,,,,,,,,,,,,,,
19.2,-8.856,0.33,,,,,,,,,,,,,,,,,
19.25,-8.872,0.355,,,,,,,,,,,,,,,,,
19.3,-8.897,0.383,,,,,,,,,,,,,,,,,
19.35,-8.928,0.412,,,,,,,,,,,,,,,,,
19.4,-8.963,0.434,,,,,,,,,,,,,,,,,
19.45,-9.01,0.456,,,,,,,,,,,,,,,,,
19.5,-9.057,0.468,,,,,,,,,,,,,,,,,
19.55,-9.107,0.478,,,,,,,,,,,,,,,,,
19.6,-9.161,0.481,,,,,,,,,,,,,,,,,
19.65,-9.214,0.474,,,,,,,,,,,,,,,,,
19.7,-9.265,0.462,,,,,,,,,,,,,,,,,
19.75,-9.312,0.443,,,,,,,,,,,,,,,,,
19.8,-9.349,0.421,,,,,,,,,,,,,,,,,
19.85,-9.384,0.393,,,,,,,,,,,,,,,,,
19.9,-9.409,0.368,,,,,,,,,,,,,,,,,
19.95,-9.428,0.342,,,,,,,,,,,,,,,,,
20,-9.44,0.32,,,,,,,,,,,,,,,,,
20.05,-9.444,0.302,,,,,,,,,,,,,,,,,
20.1,-9.447,0.289,,,,,,,,,,,,,,,,,
20.15,-9.444,0.286,,,,,,,,,,,,,,,,,
20.2,-9.44,0.289,,,,,,,,,,,,,,,,,
20.25,-9.44,0.298,,,,,,,,,,,,,,,,,
20.3,-9.44,0.314,,,,,,,,,,,,,,,,,
20.35,-9.45,0.333,,,,,,,,,,,,,,,,,
20.4,-9.462,0.358,,,,,,,,,,,,,,,,,
20.45,-9.484,0.386,,,,,,,,,,,,,,,,,
20.5,-9.513,0.412,,,,,,,,,,,,,,,,,
20.55,-9.547,0.437,,,,,,,,,,,,,,,,,
20.6,-9.588,0.459,,,,,,,,,,,,,,,,,
20.65,-9.635,0.474,,,,,,,,,,,,,,,,,
20.7,-9.686,0.484,,,,,,,,,,,,,,,,,
20.75,-9.739,0.487,,,,,,,,,,,,,,,,,
