Time,Angle1,Angle2,,,,,,,,,,,,,,,,,
8.65,2.196,0.019,,,,,,,,,,,,,,,,,
8.7,2.246,0.019,,,,,,,,,,,,,,,,,
8.75,2.293,0.019,,,,,,,,,,,,,,,,,
8.8,2.34,0.019,,,,,,,,,,,,,,,,,
8.85,2.388,0.019,,,,,,,,,,,,,,,,,
8.9,2.435,0.019,,,,,,,,,,,,,,,,,
8.95,2.432,0.019,,,,,,,,,,,,,,,,,
9,2.391,0.019,,,,,,,,,,,,,,,,,
9.05,2.347,0.019,,,,,,,,,,,,,,,,,
9.1,2.303,0.019,,,,,,,,,,,,,,,,,
9.15,2.259,0.016,,,,,,,,,,,,,,,,,
9.2,2.218,0.016,,,,,,,,,,,,,,,,,
9.25,2.177,0.016,,,,,,,,,,,,,,,,,
9.3,2.143,0.016,,,,,,,,,,,,,,,,,
9.35,2.105,0.016,,,,,,,,,,,,,,,,,
9.4,2.07,0.016,,,,,,,,,,,,,,,,,
9.45,2.039,0.016,,,,,,,,,,,,,,,,,
9.5,2.007,0.016,,,,,,,,,,,,,,,,,
9.55,1.976,0.013,,,,,,,,,,,,,,,,,
9.6,1.945,0.013,,,,,,,,,,,,,,,,,
9.65,1.916,0.013,,,,,,,,,,,,,,,,,
9.7,1.885,0.013,,,,,,,,,,,,,,,,,
9.75,1.857,0.013,,,,,,,,,,,,,,,,,
9.8,2.152,0.013,,,,,,,,,,,,,,,,,
9.85,2.41,0.013,,,,,,,,,,,,,,,,,
9.9,2.472,0.013,,,,,,,,,,,,,,,,,
9.95,2.52,0.013,,,,,,,,,,,,,,,,,
10,2.56,0.013,,,,,,,,,,,,,,,,,
10.05,2.598,0.013,,,,,,,,,,,,,,,,,
10.1,2.639,0.013,,,,,,,,,,,,,,,,,
10.15,2.677,0.013,,,,,,,,,,,,,,,,,
10.2,2.711,0.013,,,,,,,,,,,,,,,,,
10.25,2.749,0.013,,,,,,,,,,,,,,,,,
10.3,2.78,0.013,,,,,,,,,,,,,,,,,
10.35,2.815,0.013,,,,,,,,,,,,,,,,,
10.4,2.849,0.013,,,,,,,,,,,,,,,,,
10.45,2.881,0.013,,,,,,,,,,,,,,,,,
10.5,2.912,0.013,,,,,,,,,,,,,,,,,
10.55,2.947,0.013,,,,,,,,,,,,,,,,,
10.6,2.975,0.013,,,,,,,,,,,,,,,,,
10.65,3.007,0.013,,,,,,,,,,,,,,,,,
10.7,3.038,0.013,,,,,,,,,,,,,,,,,
10.75,3.066,0.013,,,,,,,,,,,,,,,,,
10.8,3.098,0.013,,,,,,,,,,,,,,,,,
10.85,3.126,0.013,,,,,,,,,,,,,,,,,
10.9,3.154,0.013,,,,,,,,,,,,,,,,,
10.95,3.186,0.013,,,,,,,,,,,,,,,,,
11,3.211,0.013,,,,,,,,,,,,,,,,,
11.05,3.242,0.013,,,,,,,,,,,,,,,,,
11.1,3.27,0.013,,,,,,,,,,,,,,,,,
11.15,3.296,0.013,,,,,,,,,,,,,,,,,
11.2,3.327,0.013,,,,,,,,,,,,,,,,,
11.25,3.352,0.013,,,,,,,,,,,,,,,,,
11.3,3.383,0.013,,,,,,,,,,,,,,,,,
11.35,3.412,0.013,,,,,,,,,,,,,,,,,
11.4,3.437,0.013,,,,,,,,,,,,,,,,,
11.45,3.465,0.013,,,,,,,,,,,,,,,,,
11.5,3.49,0.013,,,,,,,,,,,,,,,,,
11.55,3.519,0.013,,,,,,,,,,,,,,,,,
11.6,3.547,0.013,,,,,,,,,,,,,,,,,
11.65,3.572,0.013,,,,,,,,,,,,,,,,,
11.7,3.597,0.013,,,,,,,,,,,,,,,,,
11.75,3.622,0.013,,,,,,,,,,,,,,,,,
11.8,3.644,0.013,,,,,,,,,,,,,,,,,
11.85,3.666,0.013,,,,,,,,,,,,,,,,,
11.9,3.691,0.013,,,,,,,,,,,,,,,,,
11.95,3.713,0.013,,,,,,,,,,,,,,,,,
12,3.735,0.013,,,,,,,,,,,,,,,,,
12.05,3.757,0.013,,,,,,,,,,,,,,,,,
12.1,3.779,0.013,,,,,,,,,,,,,,,,,
12.15,3.801,0.013,,,,,,,,,,,,,,,,,
12.2,3.823,0.013,,,,,,,,,,,,,,,,,
12.25,3.848,0.013,,,,,,,,,,,,,,,,,
12.3,3.87,0.013,,,,,,,,,,,,,,,,,
12.35,3.892,0.013,,,,,,,,,,,,,,,,,
12.4,3.914,0.013,,,,,,,,,,,,,,,,,
12.45,3.936,0.013,,,,,,,,,,,,,,,,,
12.5,3.958,0.009,,,,,,,,,,,,,,,,,
12.55,3.98,0.009,,,,,,,,,,,,,,,,,
12.6,4.002,0.009,,,,,,,,,,,,,,,,,
12.65,4.021,0.009,,,,,,,,,,,,,,,,,
12.7,4.043,0.009,,,,,,,,,,,,,,,,,
12.75,4.062,0.009,,,,,,,,,,,,,,,,,
12.8,4.084,0.009,,,,,,,,,,,,,,,,,
12.85,4.103,0.009,,,,,,,,,,,,,,,,,
12.9,4.125,0.009,,,,,,,,,,,,,,,,,
12.95,4.147,0.009,,,,,,,,,,,,,,,,,
13,4.175,0.009,,,,,,,,,,,,,,,,,
13.05,4.203,0.009,,,,,,,,,,,,,,,,,
13.1,4.238,0.013,,,,,,,,,,,,,,,,,
13.15,4.279,0.016,,,,,,,,,,,,,,,,,
13.2,4.32,0.016,,,,,,,,,,,,,,,,,
13.25,4.373,0.016,,,,,,,,,,,,,,,,,
13.3,4.433,0.016,,,,,,,,,,,,,,,,,
13.35,4.502,0.019,,,,,,,,,,,,,,,,,
13.4,4.58,0.019,,,,,,,,,,,,,,,,,
13.45,4.665,0.019,,,,,,,,,,,,,,,,,
13.5,4.753,0.022,,,,,,,,,,,,,,,,,
13.55,4.851,0.022,,,,,,,,,,,,,,,,,
13.6,4.951,0.022,,,,,,,,,,,,,,,,,
13.65,5.061,0.022,,,,,,,,,,,,,,,,,
13.7,5.168,0.022,,,,,,,,,,,,,,,,,
13.75,5.18,0.022,,,,,,,,,,,,,,,,,
13.8,5.083,0.022,,,,,,,,,,,,,,,,,
13.85,4.979,0.022,,,,,,,,,,,,,,,,,
13.9,4.885,0.022,,,,,,,,,,,,,,,,,
13.95,4.788,0.022,,,,,,,,,,,,,,,,,
14,4.687,0.022,,,,,,,,,,,,,,,,,
14.05,5.187,0.022,,,,,,,,,,,,,,,,,
14.1,5.457,0.022,,,,,,,,,,,,,,,,,
14.15,5.589,0.022,,,,,,,,,,,,,,,,,
14.2,5.708,0.022,,,,,,,,,,,,,,,,,
14.25,5.821,0.022,,,,,,,,,,,,,,,,,
14.3,5.938,0.022,,,,,,,,,,,,,,,,,
14.35,6.06,0.022,,,,,,,,,,,,,,,,,
14.4,6.18,0.022,,,,,,,,,,,,,,,,,
14.45,6.296,0.022,,,,,,,,,,,,,,,,,
14.5,6.409,0.022,,,,,,,,,,,,,,,,,
14.55,6.522,0.022,,,,,,,,,,,,,,,,,
14.6,6.629,0.022,,,,,,,,,,,,,,,,,
14.65,6.732,0.022,,,,,,,,,,,,,,,,,
14.7,6.833,0.022,,,,,,,,,,,,,,,,,
14.75,6.93,0.022,,,,,,,,,,,,,,,,,
14.8,7.031,0.022,,,,,,,,,,,,,,,,,
14.85,7.122,0.022,,,,,,,,,,,,,,,,,
14.9,7.21,0.022,,,,,,,,,,,,,,,,,
14.95,7.301,0.022,,,,,,,,,,,,,,,,,
15,7.395,0.022,,,,,,,,,,,,,,,,,
15.05,7.496,0.022,,,,,,,,,,,,,,,,,
15.1,7.612,0.022,,,,,,,,,,,,,,,,,
15.15,7.747,0.022,,,,,,,,,,,,,,,,,
15.2,7.845,0.022,,,,,,,,,,,,,,,,,
15.25,7.945,0.022,,,,,,,,,,,,,,,,,
15.3,8.039,0.022,,,,,,,,,,,,,,,,,
