Time,Position1,Position2,,,,,,,,,,,,,,,,,
6.75,0.0071,1.50E-04,,,,,,,,,,,,,,,,,
6.8,0.0076,2.25E-04,,,,,,,,,,,,,,,,,
6.85,0.0081,3.00E-04,,,,,,,,,,,,,,,,,
6.9,0.0088,3.00E-04,,,,,,,,,,,,,,,,,
6.95,0.0097,3.75E-04,,,,,,,,,,,,,,,,,
7,0.0106,3.75E-04,,,,,,,,,,,,,,,,,
7.05,0.0118,3.75E-04,,,,,,,,,,,,,,,,,
7.1,0.0129,3.75E-04,,,,,,,,,,,,,,,,,
7.15,0.0141,3.75E-04,,,,,,,,,,,,,,,,,
7.2,0.0154,4.50E-04,,,,,,,,,,,,,,,,,
7.25,0.0166,4.50E-04,,,,,,,,,,,,,,,,,
7.3,0.0178,4.50E-04,,,,,,,,,,,,,,,,,
7.35,0.019,4.50E-04,,,,,,,,,,,,,,,,,
7.4,0.0203,4.50E-04,,,,,,,,,,,,,,,,,
7.45,0.0216,4.50E-04,,,,,,,,,,,,,,,,,
7.5,0.0229,4.50E-04,,,,,,,,,,,,,,,,,
7.55,0.0241,4.50E-04,,,,,,,,,,,,,,,,,
7.6,0.0253,4.50E-04,,,,,,,,,,,,,,,,,
7.65,0.0265,4.50E-04,,,,,,,,,,,,,,,,,
7.7,0.0278,4.50E-04,,,,,,,,,,,,,,,,,
7.75,0.0292,4.50E-04,,,,,,,,,,,,,,,,,
7.8,0.0305,4.50E-04,,,,,,,,,,,,,,,,,
7.85,0.032,4.50E-04,,,,,,,,,,,,,,,,,
7.9,0.0335,4.50E-04,,,,,,,,,,,,,,,,,
7.95,0.0349,4.50E-04,,,,,,,,,,,,,,,,,
8,0.0363,4.50E-04,,,,,,,,,,,,,,,,,
8.05,0.0376,4.50E-04,,,,,,,,,,,,,,,,,
8.1,0.0389,4.50E-04,,,,,,,,,,,,,,,,,
8.15,0.0403,4.50E-04,,,,,,,,,,,,,,,,,
8.2,0.0416,4.50E-04,,,,,,,,,,,,,,,,,
8.25,0.043,4.50E-04,,,,,,,,,,,,,,,,,
8.3,0.0442,4.50E-04,,,,,,,,,,,,,,,,,
8.35,0.0454,4.50E-04,,,,,,,,,,,,,,,,,
8.4,0.0466,4.50E-04,,,,,,,,,,,,,,,,,
8.45,0.0478,4.50E-04,,,,,,,,,,,,,,,,,
8.5,0.049,4.50E-04,,,,,,,,,,,,,,,,,
8.55,0.0502,4.50E-04,,,,,,,,,,,,,,,,,
8.6,0.0513,4.50E-04,,,,,,,,,,,,,,,,,
8.65,0.0524,4.50E-04,,,,,,,,,,,,,,,,,
8.7,0.0536,4.50E-04,,,,,,,,,,,,,,,,,
8.75,0.0547,4.50E-04,,,,,,,,,,,,,,,,,
8.8,0.0559,4.50E-04,,,,,,,,,,,,,,,,,
8.85,0.057,4.50E-04,,,,,,,,,,,,,,,,,
8.9,0.0581,4.50E-04,,,,,,,,,,,,,,,,,
8.95,0.058,4.50E-04,,,,,,,,,,,,,,,,,
9,0.0571,4.50E-04,,,,,,,,,,,,,,,,,
9.05,0.056,4.50E-04,,,,,,,,,,,,,,,,,
9.1,0.055,4.50E-04,,,,,,,,,,,,,,,,,
9.15,0.0539,3.75E-04,,,,,,,,,,,,,,,,,
9.2,0.0529,3.75E-04,,,,,,,,,,,,,,,,,
9.25,0.052,3.75E-04,,,,,,,,,,,,,,,,,
9.3,0.0511,3.75E-04,,,,,,,,,,,,,,,,,
9.35,0.0502,3.75E-04,,,,,,,,,,,,,,,,,
9.4,0.0494,3.75E-04,,,,,,,,,,,,,,,,,
9.45,0.0487,3.75E-04,,,,,,,,,,,,,,,,,
9.5,0.0479,3.75E-04,,,,,,,,,,,,,,,,,
9.55,0.0472,3.00E-04,,,,,,,,,,,,,,,,,
9.6,0.0464,3.00E-04,,,,,,,,,,,,,,,,,
9.65,0.0457,3.00E-04,,,,,,,,,,,,,,,,,
9.7,0.045,3.00E-04,,,,,,,,,,,,,,,,,
9.75,0.0443,3.00E-04,,,,,,,,,,,,,,,,,
9.8,0.0514,3.00E-04,,,,,,,,,,,,,,,,,
9.85,0.0575,3.00E-04,,,,,,,,,,,,,,,,,
9.9,0.059,3.00E-04,,,,,,,,,,,,,,,,,
9.95,0.0601,3.00E-04,,,,,,,,,,,,,,,,,
10,0.0611,3.00E-04,,,,,,,,,,,,,,,,,
10.05,0.062,3.00E-04,,,,,,,,,,,,,,,,,
10.1,0.063,3.00E-04,,,,,,,,,,,,,,,,,
10.15,0.0639,3.00E-04,,,,,,,,,,,,,,,,,
10.2,0.0647,3.00E-04,,,,,,,,,,,,,,,,,
10.25,0.0656,3.00E-04,,,,,,,,,,,,,,,,,
10.3,0.0664,3.00E-04,,,,,,,,,,,,,,,,,
10.35,0.0672,3.00E-04,,,,,,,,,,,,,,,,,
10.4,0.068,3.00E-04,,,,,,,,,,,,,,,,,
10.45,0.0688,3.00E-04,,,,,,,,,,,,,,,,,
10.5,0.0695,3.00E-04,,,,,,,,,,,,,,,,,
10.55,0.0703,3.00E-04,,,,,,,,,,,,,,,,,
10.6,0.071,3.00E-04,,,,,,,,,,,,,,,,,
10.65,0.0718,3.00E-04,,,,,,,,,,,,,,,,,
10.7,0.0725,3.00E-04,,,,,,,,,,,,,,,,,
10.75,0.0732,3.00E-04,,,,,,,,,,,,,,,,,
10.8,0.0739,3.00E-04,,,,,,,,,,,,,,,,,
10.85,0.0746,3.00E-04,,,,,,,,,,,,,,,,,
10.9,0.0753,3.00E-04,,,,,,,,,,,,,,,,,
10.95,0.076,3.00E-04,,,,,,,,,,,,,,,,,
11,0.0766,3.00E-04,,,,,,,,,,,,,,,,,
11.05,0.0774,3.00E-04,,,,,,,,,,,,,,,,,
11.1,0.0781,3.00E-04,,,,,,,,,,,,,,,,,
11.15,0.0787,3.00E-04,,,,,,,,,,,,,,,,,
11.2,0.0794,3.00E-04,,,,,,,,,,,,,,,,,
11.25,0.08,3.00E-04,,,,,,,,,,,,,,,,,
11.3,0.0808,3.00E-04,,,,,,,,,,,,,,,,,
11.35,0.0814,3.00E-04,,,,,,,,,,,,,,,,,
11.4,0.082,3.00E-04,,,,,,,,,,,,,,,,,
11.45,0.0827,3.00E-04,,,,,,,,,,,,,,,,,
11.5,0.0833,3.00E-04,,,,,,,,,,,,,,,,,
11.55,0.084,3.00E-04,,,,,,,,,,,,,,,,,
11.6,0.0847,3.00E-04,,,,,,,,,,,,,,,,,
11.65,0.0853,3.00E-04,,,,,,,,,,,,,,,,,
11.7,0.0859,3.00E-04,,,,,,,,,,,,,,,,,
11.75,0.0865,3.00E-04,,,,,,,,,,,,,,,,,
11.8,0.087,3.00E-04,,,,,,,,,,,,,,,,,
11.85,0.0875,3.00E-04,,,,,,,,,,,,,,,,,
11.9,0.0881,3.00E-04,,,,,,,,,,,,,,,,,
11.95,0.0886,3.00E-04,,,,,,,,,,,,,,,,,
12,0.0892,3.00E-04,,,,,,,,,,,,,,,,,
12.05,0.0897,3.00E-04,,,,,,,,,,,,,,,,,
12.1,0.0902,3.00E-04,,,,,,,,,,,,,,,,,
12.15,0.0907,3.00E-04,,,,,,,,,,,,,,,,,
12.2,0.0913,3.00E-04,,,,,,,,,,,,,,,,,
12.25,0.0919,3.00E-04,,,,,,,,,,,,,,,,,
12.3,0.0924,3.00E-04,,,,,,,,,,,,,,,,,
12.35,0.0929,3.00E-04,,,,,,,,,,,,,,,,,
12.4,0.0934,3.00E-04,,,,,,,,,,,,,,,,,
12.45,0.094,3.00E-04,,,,,,,,,,,,,,,,,
12.5,0.0945,2.25E-04,,,,,,,,,,,,,,,,,
12.55,0.095,2.25E-04,,,,,,,,,,,,,,,,,
12.6,0.0955,2.25E-04,,,,,,,,,,,,,,,,,
12.65,0.096,2.25E-04,,,,,,,,,,,,,,,,,
12.7,0.0965,2.25E-04,,,,,,,,,,,,,,,,,
12.75,0.097,2.25E-04,,,,,,,,,,,,,,,,,
12.8,0.0975,2.25E-04,,,,,,,,,,,,,,,,,
12.85,0.0979,2.25E-04,,,,,,,,,,,,,,,,,
12.9,0.0985,2.25E-04,,,,,,,,,,,,,,,,,
12.95,0.099,2.25E-04,,,,,,,,,,,,,,,,,
13,0.0997,2.25E-04,,,,,,,,,,,,,,,,,
