Time,Angle1,Angle2,,,,,,,,,,,,,,,,,
15.65,-9.142,0.05,,,,,,,,,,,,,,,,,
15.7,-9.173,0.066,,,,,,,,,,,,,,,,,
15.75,-9.211,0.082,,,,,,,,,,,,,,,,,
15.8,-9.252,0.094,,,,,,,,,,,,,,,,,
15.85,-9.296,0.104,,,,,,,,,,,,,,,,,
15.9,-9.343,0.113,,,,,,,,,,,,,,,,,
15.95,-9.39,0.116,,,,,,,,,,,,,,,,,
16,-9.437,0.119,,,,,,,,,,,,,,,,,
16.05,-9.481,0.116,,,,,,,,,,,,,,,,,
16.1,-9.528,0.11,,,,,,,,,,,,,,,,,
16.15,-9.572,0.101,,,,,,,,,,,,,,,,,
16.2,-9.616,0.091,,,,,,,,,,,,,,,,,
16.25,-9.654,0.075,,,,,,,,,,,,,,,,,
16.3,-9.689,0.063,,,,,,,,,,,,,,,,,
16.35,-9.72,0.047,,,,,,,,,,,,,,,,,
16.4,-9.745,0.031,,,,,,,,,,,,,,,,,
16.45,-9.77,0.019,,,,,,,,,,,,,,,,,
16.5,-9.789,0.006,,,,,,,,,,,,,,,,,
16.55,-9.805,-0.003,,,,,,,,,,,,,,,,,
16.6,-9.821,-0.013,,,,,,,,,,,,,,,,,
16.65,-9.833,-0.016,,,,,,,,,,,,,,,,,
16.7,-9.843,-0.016,,,,,,,,,,,,,,,,,
16.75,-9.858,-0.013,,,,,,,,,,,,,,,,,
16.8,-9.871,-0.003,,,,,,,,,,,,,,,,,
16.85,-9.887,0.006,,,,,,,,,,,,,,,,,
16.9,-9.905,0.019,,,,,,,,,,,,,,,,,
16.95,-9.927,0.035,,,,,,,,,,,,,,,,,
17,-9.953,0.05,,,,,,,,,,,,,,,,,
17.05,-9.981,0.066,,,,,,,,,,,,,,,,,
17.1,-10.015,0.082,,,,,,,,,,,,,,,,,
17.15,-10.05,0.097,,,,,,,,,,,,,,,,,
17.2,-10.091,0.11,,,,,,,,,,,,,,,,,
17.25,-10.132,0.119,,,,,,,,,,,,,,,,,
17.3,-10.179,0.126,,,,,,,,,,,,,,,,,
17.35,-10.223,0.132,,,,,,,,,,,,,,,,,
17.4,-10.27,0.132,,,,,,,,,,,,,,,,,
17.45,-10.317,0.129,,,,,,,,,,,,,,,,,
17.5,-10.361,0.123,,,,,,,,,,,,,,,,,
17.55,-10.402,0.116,,,,,,,,,,,,,,,,,
17.6,-10.446,0.104,,,,,,,,,,,,,,,,,
17.65,-10.484,0.091,,,,,,,,,,,,,,,,,
17.7,-10.518,0.079,,,,,,,,,,,,,,,,,
17.75,-10.549,0.063,,,,,,,,,,,,,,,,,
17.8,-10.575,0.047,,,,,,,,,,,,,,,,,
17.85,-10.6,0.035,,,,,,,,,,,,,,,,,
17.9,-10.622,0.025,,,,,,,,,,,,,,,,,
17.95,-10.637,0.013,,,,,,,,,,,,,,,,,
18,-10.656,0.009,,,,,,,,,,,,,,,,,
18.05,-10.669,0.006,,,,,,,,,,,,,,,,,
18.1,-10.681,0.003,,,,,,,,,,,,,,,,,
18.15,-10.694,0.009,,,,,,,,,,,,,,,,,
18.2,-10.71,0.013,,,,,,,,,,,,,,,,,
18.25,-10.725,0.025,,,,,,,,,,,,,,,,,
18.3,-10.744,0.038,,,,,,,,,,,,,,,,,
18.35,-10.769,0.05,,,,,,,,,,,,,,,,,
18.4,-10.795,0.066,,,,,,,,,,,,,,,,,
18.45,-10.823,0.082,,,,,,,,,,,,,,,,,
18.5,-10.854,0.097,,,,,,,,,,,,,,,,,
18.55,-10.892,0.11,,,,,,,,,,,,,,,,,
18.6,-10.933,0.123,,,,,,,,,,,,,,,,,
18.65,-10.974,0.132,,,,,,,,,,,,,,,,,
18.7,-11.018,0.138,,,,,,,,,,,,,,,,,
18.75,-11.062,0.141,,,,,,,,,,,,,,,,,
18.8,-11.109,0.145,,,,,,,,,,,,,,,,,
18.85,-11.153,0.141,,,,,,,,,,,,,,,,,
18.9,-11.2,0.135,,,,,,,,,,,,,,,,,
18.95,-11.241,0.129,,,,,,,,,,,,,,,,,
19,-11.285,0.119,,,,,,,,,,,,,,,,,
19.05,-11.322,0.104,,,,,,,,,,,,,,,,,
19.1,-11.354,0.091,,,,,,,,,,,,,,,,,
19.15,-11.385,0.079,,,,,,,,,,,,,,,,,
19.2,-11.413,0.063,,,,,,,,,,,,,,,,,
19.25,-11.439,0.05,,,,,,,,,,,,,,,,,
19.3,-11.461,0.041,,,,,,,,,,,,,,,,,
19.35,-11.479,0.031,,,,,,,,,,,,,,,,,
19.4,-11.492,0.025,,,,,,,,,,,,,,,,,
19.45,-11.508,0.022,,,,,,,,,,,,,,,,,
