Time,Angle1,Angle2,,,,,,,,,,,,,,,,,
7,-3.252,0.107,,,,,,,,,,,,,,,,,
7.05,-3.258,0.113,,,,,,,,,,,,,,,,,
7.1,-3.264,0.126,,,,,,,,,,,,,,,,,
7.15,-3.277,0.138,,,,,,,,,,,,,,,,,
7.2,-3.292,0.154,,,,,,,,,,,,,,,,,
7.25,-3.311,0.173,,,,,,,,,,,,,,,,,
7.3,-3.34,0.192,,,,,,,,,,,,,,,,,
7.35,-3.371,0.207,,,,,,,,,,,,,,,,,
7.4,-3.405,0.22,,,,,,,,,,,,,,,,,
7.45,-3.443,0.232,,,,,,,,,,,,,,,,,
7.5,-3.484,0.239,,,,,,,,,,,,,,,,,
7.55,-3.528,0.242,,,,,,,,,,,,,,,,,
7.6,-3.569,0.239,,,,,,,,,,,,,,,,,
7.65,-3.61,0.232,,,,,,,,,,,,,,,,,
7.7,-3.647,0.223,,,,,,,,,,,,,,,,,
7.75,-3.682,0.207,,,,,,,,,,,,,,,,,
7.8,-3.713,0.192,,,,,,,,,,,,,,,,,
7.85,-3.738,0.176,,,,,,,,,,,,,,,,,
7.9,-3.757,0.16,,,,,,,,,,,,,,,,,
7.95,-3.773,0.145,,,,,,,,,,,,,,,,,
8,-3.786,0.132,,,,,,,,,,,,,,,,,
8.05,-3.792,0.126,,,,,,,,,,,,,,,,,
8.1,-3.798,0.123,,,,,,,,,,,,,,,,,
8.15,-3.804,0.126,,,,,,,,,,,,,,,,,
8.2,-3.811,0.132,,,,,,,,,,,,,,,,,
8.25,-3.82,0.141,,,,,,,,,,,,,,,,,
8.3,-3.833,0.157,,,,,,,,,,,,,,,,,
8.35,-3.848,0.173,,,,,,,,,,,,,,,,,
8.4,-3.87,0.192,,,,,,,,,,,,,,,,,
8.45,-3.899,0.207,,,,,,,,,,,,,,,,,
8.5,-3.93,0.223,,,,,,,,,,,,,,,,,
8.55,-3.965,0.236,,,,,,,,,,,,,,,,,
8.6,-4.006,0.248,,,,,,,,,,,,,,,,,
8.65,-4.046,0.251,,,,,,,,,,,,,,,,,
8.7,-4.087,0.254,,,,,,,,,,,,,,,,,
8.75,-4.131,0.251,,,,,,,,,,,,,,,,,
8.8,-4.172,0.242,,,,,,,,,,,,,,,,,
8.85,-4.21,0.232,,,,,,,,,,,,,,,,,
8.9,-4.244,0.217,,,,,,,,,,,,,,,,,
8.95,-4.273,0.201,,,,,,,,,,,,,,,,,
9,-4.298,0.185,,,,,,,,,,,,,,,,,
9.05,-4.317,0.17,,,,,,,,,,,,,,,,,
9.1,-4.332,0.157,,,,,,,,,,,,,,,,,
9.15,-4.345,0.145,,,,,,,,,,,,,,,,,
9.2,-4.351,0.138,,,,,,,,,,,,,,,,,
9.25,-4.361,0.135,,,,,,,,,,,,,,,,,
9.3,-4.367,0.138,,,,,,,,,,,,,,,,,
9.35,-4.373,0.145,,,,,,,,,,,,,,,,,
9.4,-4.386,0.157,,,,,,,,,,,,,,,,,
9.45,-4.398,0.173,,,,,,,,,,,,,,,,,
9.5,-4.417,0.188,,,,,,,,,,,,,,,,,
9.55,-4.439,0.207,,,,,,,,,,,,,,,,,
9.6,-4.47,0.223,,,,,,,,,,,,,,,,,
9.65,-4.502,0.239,,,,,,,,,,,,,,,,,
9.7,-4.54,0.251,,,,,,,,,,,,,,,,,
9.75,-4.58,0.258,,,,,,,,,,,,,,,,,
9.8,-4.621,0.264,,,,,,,,,,,,,,,,,
9.85,-4.665,0.264,,,,,,,,,,,,,,,,,
9.9,-4.706,0.261,,,,,,,,,,,,,,,,,
9.95,-4.747,0.254,,,,,,,,,,,,,,,,,
10,-4.785,0.242,,,,,,,,,,,,,,,,,
10.05,-4.819,0.226,,,,,,,,,,,,,,,,,
10.1,-4.847,0.21,,,,,,,,,,,,,,,,,
10.15,-4.873,0.195,,,,,,,,,,,,,,,,,
10.2,-4.895,0.179,,,,,,,,,,,,,,,,,
10.25,-4.907,0.167,,,,,,,,,,,,,,,,,
10.3,-4.92,0.154,,,,,,,,,,,,,,,,,
10.35,-4.929,0.148,,,,,,,,,,,,,,,,,
10.4,-4.935,0.148,,,,,,,,,,,,,,,,,
10.45,-4.942,0.148,,,,,,,,,,,,,,,,,
10.5,-4.951,0.157,,,,,,,,,,,,,,,,,
10.55,-4.964,0.17,,,,,,,,,,,,,,,,,
10.6,-4.976,0.182,,,,,,,,,,,,,,,,,
10.65,-4.995,0.198,,,,,,,,,,,,,,,,,
10.7,-5.02,0.217,,,,,,,,,,,,,,,,,
10.75,-5.049,0.232,,,,,,,,,,,,,,,,,
