"Time (s) Run #1","x-Position, Object #1 (m) Run #1","y-Position, Object #1 (m) Run #1","x-Velocity, Object #1 (m/s) Run #1","y-Velocity, Object #1 (m/s) Run #1","x-Acceleration, Object #1 (m/s²) Run #1","y-Acceleration, Object #1 (m/s²) Run #1","Time (s) Run #2","Angle, 004-000 (rad) Run #2","Angular Velocity, 004-000 (rad/s) Run #2","Angular Acceleration, 004-000 (rad/s²) Run #2","Position, 004-000 (m) Run #2","Velocity, 004-000 (m/s) Run #2","Acceleration, 004-000 (m/s²) Run #2","Angle, 670-231 (rad) Run #2","Angular Velocity, 670-231 (rad/s) Run #2","Angular Acceleration, 670-231 (rad/s²) Run #2","Position, 670-231 (m) Run #2","Velocity, 670-231 (m/s) Run #2","Acceleration, 670-231 (m/s²) Run #2"
,,,,,,,2.350,0.167,0.115,-0.035,0.0040,0.003,-8.333E-4,0.006,0.000,0.000,1.5000E-4,0.000,0.000
,,,,,,,2.400,0.170,0.115,-0.070,0.0040,0.003,-0.002,0.006,0.000,0.000,1.5000E-4,0.000,0.000
,,,,,,,2.450,0.176,0.105,-0.070,0.0042,0.002,-0.002,0.006,0.000,0.000,1.5000E-4,0.000,0.000
,,,,,,,2.500,0.182,0.105,-8.327E-16,0.0043,0.002,-5.204E-17,0.006,0.000,0.000,1.5000E-4,0.000,0.000
,,,,,,,2.550,0.185,0.105,0.105,0.0044,0.002,0.002,0.006,0.000,0.000,1.5000E-4,0.000,0.000
,,,,,,,2.600,0.192,0.115,0.105,0.0046,0.003,0.002,0.006,0.000,0.000,1.5000E-4,0.000,0.000
,,,,,,,2.650,0.198,0.126,9.714E-16,0.0047,0.003,7.373E-17,0.006,0.000,0.000,1.5000E-4,0.000,0.000
,,,,,,,2.700,0.204,0.115,-0.105,0.0049,0.003,-0.002,0.006,0.000,0.000,1.5000E-4,0.000,0.000
,,,,,,,2.750,0.210,0.105,-0.070,0.0050,0.002,-0.002,0.006,0.000,0.000,1.5000E-4,0.000,0.000
,,,,,,,2.800,0.214,0.105,0.035,0.0051,0.002,8.333E-4,0.006,0.000,0.000,1.5000E-4,0.000,0.000
