Time (s) Run #1,"x-Position, Object #1 (m) Run #1","y-Position, Object #1 (m) Run #1","x-Velocity, Object #1 (m/s) Run #1","y-Velocity, Object #1 (m/s) Run #1","x-Acceleration, Object #1 (m/s²) Run #1","y-Acceleration, Object #1 (m/s²) Run #1",Time (s) Run #2,"Angle, 004-000 (rad) Run #2","Angular Velocity, 004-000 (rad/s) Run #2","Angular Acceleration, 004-000 (rad/s²) Run #2","Position, 004-000 (m) Run #2","Velocity, 004-000 (m/s) Run #2","Acceleration, 004-000 (m/s²) Run #2","Angle, 670-231 (rad) Run #2","Angular Velocity, 670-231 (rad/s) Run #2","Angular Acceleration, 670-231 (rad/s²) Run #2","Position, 670-231 (m) Run #2","Velocity, 670-231 (m/s) Run #2","Acceleration, 670-231 (m/s²) Run #2"
,,,,,,,10,2.56,0.817,-3.665,0.0611,0.019,-0.087,0.013,0,0,3.00E-04,0,0
,,,,,,,10.05,2.598,0.785,-0.768,0.062,0.019,-0.018,0.013,0,0,3.00E-04,0,0
,,,,,,,10.1,2.639,0.764,-0.489,0.063,0.018,-0.012,0.013,0,0,3.00E-04,0,0
,,,,,,,10.15,2.677,0.744,-0.489,0.0639,0.018,-0.012,0.013,0,0,3.00E-04,0,0
,,,,,,,10.2,2.711,0.712,-0.454,0.0647,0.017,-0.011,0.013,0,0,3.00E-04,0,0
,,,,,,,10.25,2.749,0.691,-0.349,0.0656,0.016,-0.008,0.013,0,0,3.00E-04,0,0
,,,,,,,10.3,2.78,0.681,-0.244,0.0664,0.016,-0.006,0.013,0,0,3.00E-04,0,0
,,,,,,,10.35,2.815,0.67,-0.209,0.0672,0.016,-0.005,0.013,0,0,3.00E-04,0,0
,,,,,,,10.4,2.849,0.66,-0.209,0.068,0.016,-0.005,0.013,0,0,3.00E-04,0,0
,,,,,,,10.45,2.881,0.649,-0.209,0.0688,0.015,-0.005,0.013,0,0,3.00E-04,0,0
