"Time (s) Run #1","x-Position, Object #1 (m) Run #1","y-Position, Object #1 (m) Run #1","x-Velocity, Object #1 (m/s) Run #1","y-Velocity, Object #1 (m/s) Run #1","x-Acceleration, Object #1 (m/s²) Run #1","y-Acceleration, Object #1 (m/s²) Run #1","Time (s) Run #2","Angle, 004-000 (rad) Run #2","Angular Velocity, 004-000 (rad/s) Run #2","Angular Acceleration, 004-000 (rad/s²) Run #2","Position, 004-000 (m) Run #2","Velocity, 004-000 (m/s) Run #2","Acceleration, 004-000 (m/s²) Run #2","Angle, 670-231 (rad) Run #2","Angular Velocity, 670-231 (rad/s) Run #2","Angular Acceleration, 670-231 (rad/s²) Run #2","Position, 670-231 (m) Run #2","Velocity, 670-231 (m/s) Run #2","Acceleration, 670-231 (m/s²) Run #2"
,,,,,,,4.850,-2.158,-0.220,-1.571,-0.0515,-0.005,-0.037,0.094,0.293,1.431,0.0022,0.007,0.034
,,,,,,,4.900,-2.171,-0.314,-1.850,-0.0518,-0.007,-0.044,0.113,0.356,0.838,0.0027,0.008,0.020
,,,,,,,4.950,-2.190,-0.408,-1.990,-0.0523,-0.010,-0.047,0.132,0.377,0.175,0.0031,0.009,0.004
,,,,,,,5.000,-2.212,-0.513,-2.025,-0.0528,-0.012,-0.048,0.151,0.367,-0.384,0.0036,0.009,-0.009
,,,,,,,5.050,-2.240,-0.618,-1.920,-0.0535,-0.015,-0.046,0.170,0.335,-0.803,0.0040,0.008,-0.019
,,,,,,,5.100,-2.275,-0.712,-1.641,-0.0543,-0.017,-0.039,0.185,0.283,-1.117,0.0044,0.007,-0.027
,,,,,,,5.150,-2.312,-0.785,-1.222,-0.0552,-0.019,-0.029,0.198,0.220,-1.396,0.0047,0.005,-0.033
,,,,,,,5.200,-2.353,-0.838,-0.698,-0.0562,-0.020,-0.017,0.207,0.147,-1.676,0.0049,0.003,-0.040
,,,,,,,5.250,-2.397,-0.859,-0.140,-0.0572,-0.020,-0.003,0.214,0.052,-1.885,0.0051,0.001,-0.045
,,,,,,,5.300,-2.441,-0.848,0.349,-0.0583,-0.020,0.008,0.214,-0.052,-1.885,0.0051,-0.001,-0.045
,,,,,,,5.350,-2.482,-0.817,0.733,-0.0592,-0.019,0.017,0.207,-0.147,-1.641,0.0049,-0.003,-0.039
,,,,,,,5.400,-2.523,-0.775,1.117,-0.0602,-0.018,0.027,0.198,-0.220,-1.292,0.0047,-0.005,-0.031
,,,,,,,5.450,-2.560,-0.712,1.536,-0.0611,-0.017,0.037,0.185,-0.272,-0.942,0.0044,-0.006,-0.022
,,,,,,,5.500,-2.595,-0.618,1.885,-0.0619,-0.015,0.045,0.170,-0.314,-0.559,0.0040,-0.007,-0.013
