Time,Coil
2293,3
2301,1
2311,0
2319,0
2327,0
2335,5
2343,9
2352,32
2361,41
2371,38
2380,34
2390,35
2399,31
2408,31
2417,29
2426,20
2436,7
2445,1
2453,0
2461,2
2469,4
2478,2
2486,0
2494,0
2502,0
2511,0
2520,0
2528,4
2536,0
2544,0
2552,0
2561,0
2569,8
2578,13
2587,20
2596,0
2605,0
2613,0
2621,0
2629,0
2638,1
2647,3
2655,0
2663,0
2671,0
2679,0
2688,0
2696,0
2705,0
2713,0
2721,0
2729,0
2738,0
2746,0
2754,0
2762,0
2771,0
2780,0
2788,0
2796,0
2804,0
2812,0
2821,0
2829,0
2838,0
2846,5
2854,14
2864,4
2872,0
2880,4
2888,8
2896,12
2907,15
2916,14
2925,13
2934,12
2944,9
2952,9
2960,7
2968,14
2978,14
2988,14
2997,9
3005,14
3014,13
3023,14
3033,12
3043,8
3051,6
3059,2
3067,0
3076,0
3084,0
3092,0
3100,0
3109,0
3118,0
3126,0
3134,0
3142,0
3150,0
3159,0
3167,0
3176,0
3184,0
3192,0
3201,0
3209,0
3217,0
3225,0
3233,1
3243,2
3251,1
3259,2
3267,0
3275,0
3283,0
3292,0
3300,0
3309,0
3317,0
3325,0
3334,0
3342,0
3350,0
3358,0
3366,0
3376,0
3384,0
3392,0
3400,0
3408,0
3417,0
3425,0
3433,0
3442,0
3450,0
3459,0
3467,0
3475,0
3483,0
3491,0
3500,0
3509,0
3517,0
3525,0
3533,0
3542,0
3550,0
3558,0
3566,0
3575,0
3584,0
3592,2
3600,4
3608,8
3616,11
3625,12
3636,7
3644,2
3652,4
3660,3
3668,4
3677,5
3685,8
3693,3
3702,7
3710,8
3719,6
3727,1
3735,4
3743,4
3751,6
3760,4
3769,1
3777,0
3785,0
3793,0
3802,0
3810,0
3818,0
3826,0
3835,0
3844,1
3852,0
3860,0
3868,0
3876,0
3885,0
3893,0
3902,0
3910,0
3918,0
3927,0
3935,0
3943,0
3951,0
3959,0
3969,0
3977,0
3985,0
3993,0
4001,0
4009,0
4018,0
4026,0
4035,0
4043,0
4051,0
4060,0
4068,0
4076,0
4084,1
4092,0
4102,0
4110,0
4118,2
4126,2
4134,3
4143,4
4151,1
4159,4
4168,5
4176,3
4185,4
4193,4
4201,4
4209,5
4217,8
4226,8
4235,9
4243,6
4251,6
4259,3
4268,3
4276,4
4284,3
4292,2
4301,3
4310,1
4318,0
4326,0
4334,0
4342,0
4350,0
4359,0
4368,0
4376,0
4384,0
4392,0
4401,0
4409,0
4417,0
4425,0
4434,0
4443,0
4451,0
4459,0
4467,0
4475,0
4484,0
4492,0
4501,0
4509,0
4517,0
4526,0
4534,0
4542,0
4550,0
4558,0
4568,0
4576,0
4584,1
4592,2
4600,2
4609,4
4617,4
4625,4
4634,6
4642,7
4651,6
4659,5
4667,6
4675,4
4683,2
4691,2
4701,0
4709,0
4717,0
4725,0
4733,0
4742,0
4750,1
4758,0
4767,2
4775,0
4784,1
4792,0
4800,0
4808,0
4816,0
4825,0
4834,0
4842,0
4850,0
4858,0
4867,0
4875,0
4883,0
4891,0
4900,0
4909,0
4917,0
4925,0
4933,0
4941,0
4950,0
4958,0
4967,0
4975,0
4983,0
4992,0
5000,0
5008,0
5016,0
5024,0
5033,0
5042,0
5050,0
5058,0
5066,0
5074,0
5083,0
5091,0
5100,0
5108,0
5116,0
5125,0
5133,0
5141,0
5149,0
5157,0
5167,0
5175,0
5183,0
5191,0
5199,0
5208,0
5216,0
5224,0
5233,0
5241,0
5250,0
5258,0
